participantID,age,gender,language,amE,education,comments,content,qud,utterance,predicate,valence,responseCC,responseMC
389,22,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.49,0.5
358,58,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.19,0.07
353,58,female,English,AmE,graduated high school,""":""none at this time""}",Jackson ran ten miles,ai,think-pos,think,pos,0.46,0.74
334,55,female,English,AmE,graduated high school,""":""None...Thank you.""}",Jackson ran ten miles,ai,think-pos,think,pos,0.82,0.84
336,52,female,English,AmE,hold a higher degree,""":""None""}",Jackson ran ten miles,ai,know-pos,know,pos,0.95,0.97
380,42,preferNoToSay,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.54,0.71
398,42,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.32,0.05
370,60,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.95,0.95
364,38,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,know-pos,know,pos,1,0.97
376,28,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,know-pos,know,pos,1,1
327,24,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.47,0
383,34,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.84,0.95
381,23,male,English,AmE,some college,""":""none""}",Jackson ran ten miles,ai,know-neg,know,neg,0.47,0.42
361,34,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.49,0.49
363,25,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,know-pos,know,pos,1,0.96
331,23,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.8,0.16
352,53,female,English,AmE,graduated college,""":""N/a""}",Jackson ran ten miles,ai,know-pos,know,pos,0.77,0.84
330,41,male,English,AmE,graduated college,""":""All good.  Cole isn't the definitive knowledge holder, but it's slightly more likely that he doubts Jackson.""}",Jackson ran ten miles,ai,know-neg,know,neg,0.34,0.34
325,53,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,know-neg,know,neg,0.51,0.5
374,29,male,English,AmE,graduated high school,""":""thank you""}",Jackson ran ten miles,ai,know-neg,know,neg,0.49,0.41
386,35,male,English,AmE,some college,""":""thank u for the survey""}",Jackson ran ten miles,ai,know-pos,know,pos,0.64,1
403,65,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.5,0.5
326,56,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,know-pos,know,pos,0.93,0.98
384,26,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,know-pos,know,pos,0.68,0.82
385,33,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.82,0.83
400,38,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,know-pos,know,pos,0.5,0.5
329,66,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.71,0.7
332,39,male,English,AmE,hold a higher degree,""":""Just that he either did or did not run 10 miles, so I should have probably chosen 50% for that first question as opposed to Cole's belief about his behavior. ""}",Jackson ran ten miles,ai,know-pos,know,pos,0.84,1
328,32,preferNoToSay,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.5,0.51
346,64,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.82,0.9
350,37,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.06,0.03
366,53,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.16,0
343,50,male,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,think-neg,think,neg,0.25,0.07
387,42,male,English,AmE,hold a higher degree,""":""Thank you!""}",Jackson ran ten miles,ai,know-pos,know,pos,0.95,0.97
338,49,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,think-pos,think,pos,0.64,0.67
